Wavelength;Healthy_Maize;Stressed_Maize;Healthy_Sugar_bean;Stressed_Sugar_bean;Healthy_cabbage;Stressed_Cabbage_S1
350;0,015410234;0,018331274;0,006890792;0,008573606;0,005707754;0,008920402
351;0,015090575;0,017951023;0,007075561;0,008803498;0,005897445;0,009216861
352;0,014824192;0,017634147;0,007115413;0,008853082;0,006076291;0,009496373
353;0,014608866;0,017378005;0,007048389;0,00876969;0,006247739;0,009764322
354;0,014442377;0,017179958;0,006912529;0,008600652;0,006415234;0,010026092
355;0,014322505;0,017037364;0,006745875;0,008393299;0,006582222;0,010287069
356;0,014224831;0,016921176;0,006693343;0,008327938;0,006756366;0,010559232
357;0,014204853;0,01689741;0,006613639;0,008228769;0,006930796;0,010831842
358;0,014284767;0,016992473;0,006524877;0,008118331;0,007114249;0,011118551
359;0,014284767;0,016992473;0,006445173;0,008019162;0,00731461;0,011431688
360;0,014284767;0,016992473;0,006392641;0,0079538;0,007520893;0,011754079
361;0,014284767;0,016992473;0,006385395;0,007944785;0,007729802;0,012080573
362;0,014284767;0,016992473;0,006276707;0,007809554;0,00794137;0,012411224
363;0,014284767;0,016992473;0,006296633;0,007834347;0,008146894;0,012732428
364;0,014284767;0,016992473;0,006233232;0,007755462;0,008340301;0,013034696
365;0,014284767;0,016992473;0,006151716;0,00765404;0,008521163;0,013317358
366;0,014284767;0,016992473;0,006216929;0,007735178;0,008679584;0,013564946
367;0,014284767;0,016992473;0,006216929;0,007735178;0,008802475;0,013757007
368;0,014284767;0,016992473;0,006216929;0,007735178;0,008889049;0,01389231
369;0,014284767;0,016992473;0,006216929;0,007735178;0,008952924;0,013992137
370;0,014364682;0,017087536;0,006216929;0,007735178;0,009001813;0,014068544
371;0,014264789;0,016968707;0,006216929;0,007735178;0,009030373;0,014113179
372;0,014187094;0,016876285;0,006216929;0,007735178;0,009042853;0,014132685
373;0,014211512;0,016905332;0,006216929;0,007735178;0,009044263;0,014134888
374;0,014078321;0,016746894;0,006216929;0,007735178;0,009033752;0,01411846
375;0,013989527;0,016641269;0,006216929;0,007735178;0,009016454;0,014091426
376;0,014025044;0,016683519;0,006216929;0,007735178;0,008995891;0,01405929
377;0,013925151;0,01656469;0,006216929;0,007735178;0,008967598;0,01401507
378;0,013891853;0,016525081;0,006216929;0,007735178;0,008931824;0,013959162
379;0,013925151;0,01656469;0,006216929;0,007735178;0,008904482;0,01391643
